recordType,unit,creationDate,startDate,endDate,value,day of week (numeric),day of week (string),month
HKQuantityTypeIdentifierStepCount,count,2020-09-01,1598976137,1598976147,18,1,Tuesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-01,1598976892,1598977021,22,1,Tuesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-01,1598977615,1598977643,17,1,Tuesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-01,1598981765,1598982170,39,1,Tuesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-01,1598982490,1598982712,79,1,Tuesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-01,1598985143,1598985220,9,1,Tuesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-01,1598985946,1598986428,24,1,Tuesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-01,1598987259,1598987819,83,1,Tuesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-01,1598988110,1598988709,1033,1,Tuesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-01,1598988709,1598989278,247,1,Tuesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-01,1598989351,1598989353,8,1,Tuesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-01,1598990635,1598990643,17,1,Tuesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-01,1598993238,1598993718,166,1,Tuesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-01,1598993875,1598994012,23,1,Tuesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-01,1598995566,1598995935,126,1,Tuesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-01,1598997963,1598998536,147,1,Tuesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-01,1598998598,1598999194,493,1,Tuesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-01,1598999212,1598999811,826,1,Tuesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-01,1598999811,1598999886,123,1,Tuesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-01,1599001259,1599001858,526,1,Tuesday,9
